time,direction,bytes,latency,bps,duration,serverTime,responseSize,loadedLatencies
1722790596957,download,100000,18.799950011920927,37321017.025621,21.49995,98.00005,100300,22.000203999999997
1722790598658,download,100000,20.499954000000002,36807417.1216001,21.79995399701977,52.000046,100300,
1722790598741,download,100000,20.6000780089407,34886838.20985302,23.000078000000002,56.999922,100300,16.999975
1722790598831,download,100000,16.499994,44577792.637041986,17.999994,69.000006,100300,
1722790598900,download,100000,19.20014100298023,38763020.980604775,20.70014100298023,47.999859,100300,
1722790598977,download,100000,22.600213994039535,31466402.595680177,25.500214,48.999786,100300,
1722790599047,download,100000,19.70014100298023,38576661.5771964,20.800140997019767,47.999859,100300,
1722790599136,download,100000,30.500099,23530723.477965683,34.100098994039534,53.999901,100300,
1722790599206,download,100000,18.80006899701977,40321468.22001799,19.900069005960468,46.999931,100300,18.399994005960465
1722790599297,download,100000,23.900109005960466,30980564.592038643,25.900109005960466,63.999891,100300,
1722790599429,download,1000000,17.799963997019766,125233247.38107133,63.89996400596046,62.000036,1000300,17.599994008940698
1722790599513,download,1000000,18.1001930089407,268535173.6077782,29.80019299701977,51.999807,1000300,
1722790599603,download,1000000,18.300171997019767,265858945.8433339,30.100172008940696,54.999828,1000300,
1722790599715,download,1000000,20.400025005960458,264979913.06994945,30.200025002980226,75.999975,1000300,
1722790599800,download,1000000,17.80019299701977,261514690.4974994,30.60019299403954,51.999807,1000300,
1722790599883,download,1000000,19.400048005960464,254044057.3296904,31.500048,49.999952,1000300,
1722790599985,download,1000000,17.40013900596047,278827917.842803,28.700139002980237,70.999861,1000300,31.600140994039535
1722790600082,download,1000000,17.099869994039537,286825709.3156499,27.899869991059305,64.00013,1000300,
1722790600206,upload,100000,16.800073997019766,6711185.309015032,119.79999999701977,102.999926,377,19.499933
1722790600255,upload,100000,16.600194994039537,17631578.94967308,45.599999994039536,28.999805,376,
1722790600320,upload,100000,16.899996005960467,12782193.957453292,62.900000005960464,46.000004,375,
1722790600373,upload,100000,22.499884,15920792.079207918,50.5,28.000116,376,
1722790600423,upload,100000,16.999935,16408163.265306119,49,32.000065,376,
1722790600477,upload,100000,17.899935005960465,16112224.446973218,49.900000005960464,32.000065,375,
1722790600543,upload,100000,18.200235002980236,12523364.485399958,64.20000000298023,45.999765,376,
1722790600596,upload,100000,16.100079994039532,16047904.193526004,50.099999994039536,33.99992,376,
1722790605322,upload,1000000,15.600148994039529,36281588.448629305,221.59999999403954,205.999851,375,51.100048008940696
1722790605573,upload,1000000,17.200261002980227,33333333.332921468,241.20000000298023,223.999739,375,
1722790605785,upload,1000000,16.60003600894069,39296187.681567274,204.6000000089407,187.999964,376,
1722790606015,upload,1000000,18.00000399999999,36216216.216216214,222,203.999996,376,141.29982999701977
1722790606245,upload,1000000,18.20017000298023,36347197.10620107,221.20000000298023,202.99983,376,
1722790606479,upload,1000000,16.500034,35340659.340659335,227.5,210.999966,375,17.699861002980235
1722790606767,download,10000000,16.899919991059306,437171775.81279814,182.99992,91.00008,10000300,16.500027000000003
1722790606968,download,10000000,17.599909994039535,746291671.3062154,107.19991000298023,81.00009,10000300,
1722790607175,download,10000000,16.500169999999997,687304838.1814647,116.4001699910593,77.99983,10000300,17.300255997019768
1722790607370,download,10000000,17.500067,695068231.3137629,115.1000670089407,69.999933,10000300,
1722790607606,download,10000000,19.20008600298023,594371091.2241609,134.6000860089407,89.999914,10000300,37.30001699701977
1722790607809,download,10000000,16.60000399403954,706111184.2688406,113.30000399701977,78.999996,10000300,
1722790609928,upload,10000000,17.59997699403948,39342337.05237546,2043.5999999940395,2026.000023,376,569.700016988079 226.70006700298023 32.5999960089407
1722790611795,upload,10000000,16.29991401192092,44634430.68865147,1801.300000011921,1785.000086,376,118.19999600298024 87.500141 62.60007799403954
1722790613684,upload,10000000,18.300129997019667,43951238.17860983,1829.2999999970198,1810.99987,375,42.200160002980226 67.4001929910593 29.5999960089407 26.20005700298023
1722790615543,upload,10000000,19.200174002980248,44636908.727441125,1801.2000000029802,1781.999826,375,46.999966 32.89995400596047 35.80002699701977 38.4000989910593
1722790615931,download,25000000,18.799982997019768,716854523.9660462,278.999983,82.000017,25000300,18.500059
1722790616255,download,25000000,16.700108988079073,846749820.9752902,236.20010898807908,63.999891,25000300,34.0998720089407
1722790616587,download,25000000,18.599973008940694,844961651.0834237,236.69997300298024,72.000027,25000300,
1722790616936,download,25000000,18.500223,747671900.0716497,267.500223,58.999777,25000300,16.200132002980233
1722790618231,download,100000000,18.500056999999998,709284829.8311348,1127.9000570059604,59.999943,100000300,32.900048005960464 20.5999850089407 35.80007799701977
1722790619273,download,100000000,25.500006,909403654.133077,879.7000060029802,55.999994,100000300,34.500048 38.699954002980235
1722790620550,download,100000000,18.9000569910593,716655342.7866893,1116.3000569970197,59.999943,100000300,31.299974997019767 29.000307 23.400069005960468
1722790623469,download,250000000,17.300121997019772,794408286.8950286,2517.6001219940395,152.999878,250000300,16.999964 17.900090005960465 23.700151002980235 25.500203999999997 36.30008999701977 34.499975
1722790626281,download,250000000,17.499951999999993,812909986.1895305,2460.29995199702,75.000048,250000300,17.900201991059305 25.400119991059306 19.40013900596047 40.900077991059305 28.599974994039535 23.499890999999998
